season_start_year,season_label,games_played,threes_attempted_per_team_game,threes_made_per_team_game,pct_of_shots_from_three,three_point_pct,pts_per_team_game
2000,2000-01,1189,13.71,4.85,17.01,35.35,94.81
2001,2001-02,1189,14.75,5.22,18.15,35.36,95.48
2002,2002-03,1189,14.68,5.13,18.17,34.95,95.08
2003,2003-04,1189,14.93,5.18,18.7,34.71,93.4
2004,2004-05,1230,15.75,5.6,19.61,35.56,97.2
2005,2005-06,1230,15.98,5.73,20.23,35.83,97.01
2006,2006-07,1230,16.94,6.07,21.25,35.82,98.74
2007,2007-08,1230,18.11,6.55,22.22,36.2,99.92
2008,2008-09,1230,18.12,6.65,22.4,36.68,99.95
2009,2009-10,1230,18.14,6.43,22.2,35.46,100.45
2010,2010-11,1230,18.01,6.46,22.18,35.85,99.55
2011,2011-12,990,18.38,6.41,22.57,34.88,96.26
2013,2013-14,1230,21.53,7.75,25.95,35.97,101.01
2014,2014-15,1230,22.41,7.85,26.82,35.0,100.01
2015,2015-16,1230,24.08,8.52,28.47,35.37,102.67
2016,2016-17,1230,27.0,9.65,31.61,35.75,105.59
2017,2017-18,1230,29.0,10.49,33.7,36.18,106.33
2018,2018-19,1230,32.01,11.36,35.88,35.5,111.21
2019,2019-20,1059,34.11,12.21,38.41,35.79,111.8
2020,2020-21,1080,34.64,12.7,39.18,36.66,112.09
2021,2021-22,1230,35.18,12.44,39.93,35.36,110.62
2022,2022-23,1230,34.21,12.34,38.75,36.07,114.69
