season_start_year,season_label,leader,leader_3pa_per_game,leader_win_pct
2000,2000-01,BOS,19.91,43.9
2001,2001-02,BOS,23.73,59.8
2002,2002-03,BOS,26.28,53.7
2003,2003-04,SEA,23.61,45.1
2004,2004-05,PHX,24.71,75.6
2005,2005-06,PHX,25.57,65.9
2006,2006-07,GSW,23.99,51.2
2007,2007-08,GSW,26.65,58.5
2008,2008-09,NYK,27.85,39.0
2009,2009-10,ORL,27.33,72.0
2010,2010-11,ORL,25.65,63.4
2011,2011-12,ORL,27.05,56.1
2013,2013-14,HOU,26.57,65.9
2014,2014-15,HOU,32.68,68.3
2015,2015-16,GSW,31.61,89.0
2016,2016-17,HOU,40.32,67.1
2017,2017-18,HOU,42.32,79.3
2018,2018-19,HOU,45.38,64.6
2019,2019-20,HOU,45.29,61.1
2020,2020-21,UTA,43.03,72.2
2021,2021-22,MIN,41.29,56.1
2022,2022-23,GSW,43.17,53.7
