season_start_year,season_label,high_3pa_avg_win_pct,low_3pa_avg_win_pct,win_pct_gap
2000,2000-01,55.9,44.5,11.5
2001,2001-02,54.9,45.4,9.4
2002,2002-03,53.8,46.5,7.3
2003,2003-04,49.2,50.7,-1.5
2004,2004-05,54.9,45.1,9.8
2005,2005-06,53.8,46.2,7.5
2006,2006-07,55.4,44.6,10.9
2007,2007-08,57.3,42.7,14.6
2008,2008-09,55.5,44.5,11.1
2009,2009-10,55.5,44.5,11.1
2010,2010-11,52.8,47.2,5.5
2011,2011-12,51.7,48.3,3.4
2013,2013-14,54.9,45.1,9.8
2014,2014-15,57.0,43.0,14.0
2015,2015-16,51.1,48.9,2.3
2016,2016-17,50.6,49.4,1.1
2017,2017-18,51.2,48.8,2.5
2018,2018-19,54.7,45.3,9.4
2019,2019-20,51.1,47.9,3.2
2020,2020-21,52.3,47.7,4.6
2021,2021-22,48.9,51.1,-2.3
2022,2022-23,53.9,46.1,7.8
