season_start_year,season_label,reg_3pa_per_team_game,playoff_3pa_per_team_game,playoff_minus_reg_3pa,reg_3pt_pct,playoff_3pt_pct,playoff_minus_reg_3pt_pct
2000,2000-01,13.71,14.82,1.12,35.35,35.68,0.32
2002,2002-03,14.68,17.08,2.4,34.95,35.53,0.58
2003,2003-04,14.93,15.63,0.71,34.71,32.41,-2.3
2004,2004-05,15.75,17.21,1.46,35.56,35.66,0.11
2006,2006-07,16.94,18.31,1.37,35.82,34.98,-0.84
2007,2007-08,18.11,17.54,-0.57,36.2,34.97,-1.23
2008,2008-09,18.12,19.27,1.15,36.68,35.65,-1.02
2009,2009-10,18.14,19.01,0.87,35.46,34.93,-0.53
2010,2010-11,18.01,17.91,-0.1,35.85,34.08,-1.77
2011,2011-12,18.38,17.76,-0.63,34.88,33.32,-1.55
2013,2013-14,21.53,22.35,0.81,35.97,35.85,-0.12
2014,2014-15,22.41,25.55,3.14,35.0,34.4,-0.6
2015,2015-16,24.08,25.77,1.69,35.37,35.45,0.08
2016,2016-17,27.0,29.09,2.09,35.75,36.11,0.36
2017,2017-18,29.0,29.91,0.92,36.18,35.12,-1.05
2018,2018-19,32.01,32.93,0.92,35.5,34.48,-1.03
2019,2019-20,34.11,36.31,2.19,35.79,36.0,0.21
2020,2020-21,34.64,34.3,-0.34,36.66,36.39,-0.26
2021,2021-22,35.18,34.58,-0.6,35.36,35.48,0.12
2022,2022-23,34.21,34.29,0.08,36.07,35.12,-0.96
